name;birthrate;gdp;capita
Aruba;1.9;3229;28863
Afghanistan;4.18;20136;611
Angola;5.37;124862;3793
Anguilla;1.93;258;17226
Albania;1.58;17942;6260
Aland;2.25;1563;55829
Andorra;1.3;3400;41930
United Arab Emirates;1.37;501354;50349
Argentina;2.23;564277;12187
Armenia;1.76;14047;4741
American Samoa;1.73;709;12845
Antarctica;0;0;0
Ashmore and Cartier Is.;0;0;0
Fr. S. Antarctic Lands;0;0;0
Antigua and Barb.;1.98;1621;16085
Australia;1.58;1748334;67464
Austria;1.44;479815;53371
Azerbaijan;1.7;73369;7165
Burundi;5.24;3431;272
Belgium;1.55;609887;52485
Benin;4.7;18387;1432
Burkina Faso;5.03;19621;886
Bangladesh;1.99;396543;2362
Bulgaria;1.56;89533;13101
Bahrain;1.94;"44169	";29103
Bahamas;1.73;12627;32077
Bosnia and Herz.;1.24;23358;6726
St-Barthélemy;0;0;0
Belarus;1.38;59394;6384
Belize;2.25;1991;4520
Bermuda;1.73;7719;123945
Bolivia;2.65;41032;3431
Brazil;1.71;1833274;8570
Barbados;1.63;5530;19110
Brunei;1.8;35555;79816
Bhutan;1.93;2653;3491
Botswana;2.8;18426;7519
Central African Rep.;4.57;2645;527
Canada;1.4;2221218;57406
Switzerland;1.46;841969;96390
Chile;1.61;317594;15941
China;1.7;19911593;14096
Côte d'Ivoire;4.59;73047;2574
Cameroon;4.44;45713;1638
Dem. Rep. Congo;5.72;64795;669
Congo;5.72;15951;3243
Cook Is.;2.1;283;16135
Colombia;1.77;351281;6807
Comoros;4.07;1310;1371
Cape Verde;2.21;1997;3503
Costa Rica;1.72;65314;1483
Cuba;1.59;107352;9478
Curaçao;1.6;2596;15819
Cayman Is.;1.95;6256;95191
N. Cyprus;1.31;27726;30663
Cyprus;1.31;27726;30663
Czech Rep.;1.71;296238;27609
Germany;1.53;4256540;51104
Djibouti;0;0;0
Dominica;1.9;635;8575
Denmark;1.67;399100;68094
Dominican Rep.;2.3;109080;10259
Algeria;2.94;193601;4294
Ecuador;2.38;115462;6412
Egypt;3.24;435621;4162
Eritrea;3.93;2568;701
Spain;1.23;1435560;30157
Estonia;1.58;37202;27971
Ethiopia;4.05;105325;1040
Finland;1.37;297617;53745
Fiji;2.73;5172;5685
Falkland Is.;0;0;0
France;1.83;2936702;44747
Faeroe Is.;0;0;0
Micronesia;2.97;427;4066
Gabon;3.9;22456;10390
United Kingdom;1.63;3376003;49761
Georgia;1.75;20889;5618
Guernsey;0;0;0
Ghana;3.77;73894;2303
Guinea;4.55;20952;1428
Gambia;5.2;2166;844
Guinea-Bissau;4.69;1656;873
Eq. Guinea;4.85;16335;10902
Greece;1.3;222770;20940
Grenada;2;1192;10472
Greenland;1.91;3130;55139
Guatemala;2.6;91019;4864
Guam;2.7;5844;34624
Guyana;2.4;13543;17108
Hong Kong;0.9;369486;49850
Heard I. and McDonald Is.;0;0;0
Honduras;2.39;30116;2925
Croatia;1.4;69459;17338
Haiti;2.84;20168;1672
Hungary;1.56;197813;20336
Indonesia;2.27;1289295;4691
Isle of Man;0;0;0
India;2.2;3534743;2515
Indian Ocean Ter.;0;0;0
Br. Indian Ocean Ter.;0;0;0
Ireland;1.63;516146;101509
Iran;2.1;1739012;20261
